Year,Name,HomeRun,HOF
1961,"Maris, Roger",61,N
1938,"Greenberg, Hank",58,N
1932,"Foxx, Jimmie",58,N
2002,"Rodriguez, Alex",57,N
1930,"Wilson, Hack",56,N
1997,"Griffey, Ken",56,Y
1996,"McGwire, Mark",52,N
1956,"Mantle, Mickey",52,Y
1977,"Foster, George",52,N
1955,"Mays, Willie",51,Y
1947,"Kiner, Ralph",51,N
2005,"Jones, Andruw",51,N
1990,"Fielder, Cecil",51,N
2000,"Sosa, Sammy",50,N
1995,"Belle, Albert",50,N
1966,"Robinson, Frank",49,Y
1954,"Kluszewski, Ted",49,N
1987,"Dawson, Andre",49,N
1971,"Stargell, Willie",48,Y
1979,"Kingman, Dave",48,N
2004,"Beltre, Adrian",48,N
1989,"Mitchell, Kevin",47,N
1953,"Mathews, Eddie",47,N
1958,"Banks, Ernie",47,Y
1978,"Rice, Jim",46,N
1931,"Gehrig, Lou",46,N
1937,"DiMaggio, Joe",46,N
1993,"Bonds, Barry",46,N
1963,"Killebrew, Harmon",45,N
1970,"Bench, Johnny",45,Y
1968,"Howard, Frank",44,N
1957,"Aaron, Hank",44,Y
1994,"Williams, Matt",43,N
1940,"Mize, Johnny",43,N
1992,"Gonzalez, Juan",43,N
1984,"Armas, Tony",43,N
1922,"Hornsby, Rogers",42,N
1988,"Canseco, Jose",42,N
1985,"Evans, Darrell",40,N
1986,"Barfield, Jesse",40,N
1982,"Jackson, Reggie",39,Y
1941,"Williams, Ted",37,Y
1974,"Schmidt, Mike",36,Y
1943,"York, Rudy",34,N
1944,"Nicholson, Bill",33,N
1945,"Holmes, Tommy",28,N
1884,"Williamson, Ned",27,N
1899,"Freeman, Buck",25,N
1911,"Schulte, Frank",21,N
1889,"Thompson, Sam",20,Y
1887,"O'Brien, Billy",19,N
1893,"Delahanty, Ed",19,N
1913,"Cravath, Gavvy",19,N
1894,"Duffy, Hugh",18,N
1902,"Seybold, Socks",16,N
1888,"Ryan, Jimmy",16,N
1890,"Richardson, Hardy",16,N
1901,"Crawford, Sam",16,N
1898,"Collins, Jimmy",15,N
1912,"Zimmerman, Heinie",14,N
1883,"Stovey, Harry",14,N
1892,"Holliday, Bug",13,N
1916,"Pipp, Wally",12,N
1900,"Long, Herman",12,N
1908,"Jordan, Tim",12,N
1918,"Ruth, Babe",11,Y
1904,"Davis, Harry",10,N
1907,"Brain, Dave",10,N
1910,"Beck, Fred",10,N
1905,"Odwell, Fred",9,N
1879,"Jones, Charley",9,N
1909,"Cobb, Ty",9,Y
1881,"Brouthers, Dan",8,N
1882,"Walker, Oscar",7,N
1872,"Pike, Lip",7,N
1874,"O'Rourke, Jim",5,Y
1876,"Hall, George",5,N
1871,"Meyerle, Levi",4,N
1878,"Hines, Paul",4,N
